35 10 355
NODE_COORD_SECTION
1 64 96
2 80 39
3 69 23
4 72 42
5 48 67
6 58 43
7 81 34
8 79 17
9 30 23
10 42 67
11 7 76
12 29 51
13 78 92
14 64 8
15 95 57
16 57 91
17 40 35
18 68 40
19 92 34
20 62 1
21 28 43
22 76 73
23 67 88
24 93 54
25 6 8
26 87 18
27 30 9
28 77 13
29 78 94
30 55 3
31 82 88
32 73 28
33 20 55
34 27 43
35 95 86
SET_SECTION
1 7 2 3 4 5 6 7
2 7 6 7 8 9 10 
3 7 11 12 13 14 15 
4 7 16 17 18 19 20 21 22
5 7 21 22 23 24 25
6 7 26 27 28 29 30
7 7 31 32 33 
8 8 11 12 26 27
9 8 31 32 34 35 
10 7 16 17 31 32
