52 20 3785
NODE_COORD_SECTION
1 565 575
2 25 185
3 345 750
4 945 685
5 845 655
6 880 660
7 25 230
8 525 1000
9 580 1175
10 650 1130
11 1605 620
12 1220 580
13 1465 200
14 1530 5
15 845 680
16 725 370
17 145 665
18 415 635
19 510 875
20 560 365
21 300 465
22 520 585
23 480 415
24 835 625
25 975 580
26 1215 245
27 1320 315
28 1250 400
29 660 180
30 410 250
31 420 555
32 575 665
33 1150 1160
34 700 580
35 685 595
36 685 610
37 770 610
38 795 645
39 720 635
40 760 650
41 475 960
42 95 260
43 875 920
44 700 500
45 555 815
46 830 485
47 1170 65
48 830 610
49 605 625
50 595 360
51 1340 725
52 1740 245
SET_SECTION
1 5 2 3 4 5 52
2 5 4 5 6 7 8
3 5 7 8 9 10 11
4 5 10 11 12 13 14
5 5 13 14 15 16 17
6 5 16 17 18 19 20
7 5 19 20 21 22 23
8 5 22 23 24 25 26
9 5 25 26 27 28 29
10 5 28 29 30 31 32
11 5 31 32 33 34 35
12 4 34 35 36 37
13 4 36 37 38 39
14 4 38 39 40 41
15 4 40 41 42 43
16 4 42 43 44 45
17 4 44 45 46 47
18 4 46 47 48 49
19 4 48 49 50 51
20 4 2 50 51 52
